samengesteld,gegevens,omschrijving,aantal,vereenvoudigd,LandTypeNed,LandTypeWet,opp,SbbType,Bedekking_num
"39A-8+36A2-2","vegetatie","Zwarte els, Moerasvaren en/of Grote zeggen Moeraszegge+Grauwe wilg Typische vorm",1,,"RG Moeraszegge-[Elzen-verbond]+Associatie van Grauwe wilg","RG Carex acutiformis-[Alnion glutinosae]+Salicetum cinereae",2.3310569999999999e+00,"39A-c+36A2",
"39A1-1+33-2","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+Riet en ruigtkruiden bramen",1,,"Moerasvaren-elzenbroek, typische subassociatie+DG Gewone braam (R. armeniacus)-[nitrofie.zomen]","Thelypterido-Alnetum typicum+DG Rubus armeniacus-[Galio-Urticetea]",7.4117299999999997e-01,"39A1a+33/a",
"39A-1+40A-1","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Zachte berk en Veenmossen Pijpenstrootje",3,,"RG Zachte berk-[Elzen-verbond]+RG Pijpestrootje-[Verbond der berkenbroekbossen]","RG Betula pubescens-[Alnion glutinosae]+RG Molinia caerulea-[Betulion pubescentis]",4.9491299999999999e-01,"39A-f+40A-b",
"08C-1+400-2+300-1+01A2-1","vegetatie","Oeverzegge Typische vorm+Jonge bosaanplant vochtige tot natte standplaatsen.+Erven, paden, parkeerplaatsen Erven, paden, parkeerplaatsen+kroossoorten Klein, Bult- en/of Veelwortelig kroos",1,,"RG Oeverzegge-[Verbond der grote Zeggen]+VOORLOPIG ONBEKEND+nvt+Associatie van Veelwortelig kroos","RG Carex riparia-[Magnocaricion]+nvt+nvt+Lemno-Spirodeletum polyrhizae",1.1532000000000001e-01,"08C-a+400+300+01A2",
"300-1+400-3","vegetatie","Erven, paden, parkeerplaatsen Erven, paden, parkeerplaatsen+Oudere (landschappelijke) beplantingen. natte standplaatsen",1,,"nvt+VOORLOPIG ONBEKEND","nvt+nvt",1.1063699999999999e-01,"300+400",
"39A-8+39A-1+08C-10","vegetatie","Zwarte els, Moerasvaren en/of Grote zeggen Moeraszegge+Zachte berk en Veenmossen Rietklassesoorten+Riet met grote zeggen Oeverzegge",1,,"RG Moeraszegge-[Elzen-verbond]+RG Zachte berk-[Elzen-verbond]+RG Oeverzegge-[Verbond der grote Zeggen]","RG Carex acutiformis-[Alnion glutinosae]+RG Betula pubescens-[Alnion glutinosae]+RG Carex riparia-[Magnocaricion]",3.7691000000000002e-01,"39A-c+39A-f+08C-a",
"39A-2+50A-1+08-5+32-4","vegetatie","Zachte berk Rietklasse-soorten+Open water Typische vorm+rietfacies Typische vorm+Rietgras Typische vorm",1,,"RG Zachte berk-[Elzen-verbond]+water+RG Riet-[Riet-klasse]+RG Rietgras-[Klasse der natte strooiselruigten]","RG Betula pubescens-[Alnion glutinosae]+nvt+RG Phragmites australis-[Phragmitetea]+RG Phalaris arundinacea-[Convol.-Filupenduletea]",3.5322399999999998e-01,"39A-f+50A+08-f+32-e",
"39A-5+50A-1","vegetatie","Zwarte els en storingsoorten bramen+Open water Typische vorm",1,,"RG Gewone braam-[Elzen-verbond]+water","RG Rubus fruticosus-[Alnion glutinosae]+nvt",2.3751399999999998e-01,"39A-b+50A",
"39A-5+39A-1+39A1-3","vegetatie","Zwarte els en storingsoorten bramen+Zachte berk en Veenmossen Rietklassesoorten+Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge",1,,"RG Gewone braam-[Elzen-verbond]+RG Zachte berk-[Elzen-verbond]+Moerasvaren-elzenbroek, subassoc. v Oeverzegge","RG Rubus fruticosus-[Alnion glutinosae]+RG Betula pubescens-[Alnion glutinosae]+Thelypterido-Alnetum caricetosum ripariae",2.1934400000000001e-01,"39A-b+39A-f+39A1c",
"39A-1+39A-5","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Zwarte els en storingsoorten bramen",1,,"RG Zachte berk-[Elzen-verbond]+RG Gewone braam-[Elzen-verbond]","RG Betula pubescens-[Alnion glutinosae]+RG Rubus fruticosus-[Alnion glutinosae]",1.9165699999999999e-01,"39A-f+39A-b",
"09A2-6+39A-1","vegetatie","Riet met veenmossen Typische vorm+Zachte berk en Veenmossen Rietklassesoorten",1,,"Veenmosrietland, typische subassociatie+RG Zachte berk-[Elzen-verbond]","Pallavicinio-Sphagnetum typicum+RG Betula pubescens-[Alnion glutinosae]",1.6037100000000001e-01,"09A2a+39A-f",
,"toevoeging",,120,,,,,,
,"vegetatie",,120,,,,,,
"01A2-1","vegetatie","kroossoorten Klein, Bult- en/of Veelwortelig kroos",2,,"Associatie van Veelwortelig kroos","Lemno-Spirodeletum polyrhizae",3.3542099999999997e-01,"01A2","80"
"05-1","vegetatie","Grof hoornblad Typische vorm",1,,"RG Grof hoornblad-[Fonteinkruid-klasse]","RG Ceratophyllum demersum-[Potametea]",3.3738600000000002e-01,"05-d","94"
"05B3-1","vegetatie","Witte waterlelie en/of Gele plomp vrijwel alleen Gele Plomp",6,,"Ass. Witte waterlelie en Gele plomp, typ. subass","Myriophyllo-Nupharetum typicum",8.8899000000000006e-01,"05B3a","90"
"05C1-1","vegetatie","Krabbenscheer Typische vorm",2,,"Krabbescheer associatie","Stratiotetum",1.4631600000000000e-01,"05C1","90"
"05D-2","vegetatie","smalbladige fonteinkruiden Tenger fonteinkruid",1,,"RG Teng.fonteinkr.-Sm.waterpest-[Vb.kl.Fonteink]","RG Potamogeton pusillus-Elodea nutt.-[Parvopot.]",1.4434000000000001e-02,"05D-a","100"
"05D5-2","vegetatie","Waterviolier Typische vorm",3,,"Ass. Waterviolier-Kransvedkruid, typ. subass.","Myriophyllo verticillati-Hottonietum typicum",4.1949900000000001e-01,"05D5a","100"
"06B2-1","vegetatie","Kleinste egelskop Klein blaasjeskruid en Kransvederkruid",2,,"Associatie van Kleinste egelskop","Sparganietum minimi",5.6868000000000002e-02,"06B2","100"
"39A-1+36A2-3+08C-8","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Grauwe wilg zure soorten+Hoge cyperzegge, Pluimzegge en Moerasvaren Pluimzegge",1,,"RG Zachte berk-[Elzen-verbond]+Associatie van Grauwe wilg+RG Pluimzegge-[Verbond der grote Zeggen]","RG Betula pubescens-[Alnion glutinosae]+Salicetum cinereae+RG Carex paniculata-[Magnocaricion]",1.8102299999999999e-01,"39A-f+36A2+08C-c",
"300-1+50A-1","vegetatie","Erven, paden, parkeerplaatsen Erven, paden, parkeerplaatsen+Open water Typische vorm",3,,"nvt+water","nvt+nvt",4.7019000000000000e-01,"300+50A",
"09A2-1+09A2-2+09A2-6","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet met veenmossen Typische vorm",1,,"Veenmosrietland, typische subassociatie+Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, typische subassociatie","Pallavicinio-Sphagnetum typicum+Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum typicum",1.8916700000000000e-01,"09A2a+09A2b+09A2a",
"39A-1+39A1-3+36A2-3","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge+Grauwe wilg zure soorten",1,,"RG Zachte berk-[Elzen-verbond]+Moerasvaren-elzenbroek, subassoc. v Oeverzegge+Associatie van Grauwe wilg","RG Betula pubescens-[Alnion glutinosae]+Thelypterido-Alnetum caricetosum ripariae+Salicetum cinereae",1.0185679999999999e+00,"39A-f+39A1c+36A2",
"39A1-3+39A-1","vegetatie","Zwarte els, Moerasvaren en/of Grote zeggen Oeverzegge+Zachte berk en Veenmossen Rietklassesoorten",1,,"Moerasvaren-elzenbroek, subassoc. v Oeverzegge+RG Zachte berk-[Elzen-verbond]","Thelypterido-Alnetum caricetosum ripariae+RG Betula pubescens-[Alnion glutinosae]",3.7023899999999998e-01,"39A1c+39A-f",
"08-5+32-9","vegetatie","rietfacies Typische vorm+Riet en ruigtkruiden Haagwinde",4,,"RG Riet-[Riet-klasse]+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","RG Phragmites australis-[Phragmitetea]+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",7.9443500000000000e-01,"08-f+32-c",
"09-10+09A2-1","vegetatie","Pijpenstrootje Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Typische vorm",1,,"RG Pijpestro-Gw.veenmos-[K.kl.Zeg/V.Biezk.Pijps]+Veenmosrietland, typische subassociatie","RG Molinia caer-Sphagn pal-[Parvocar/J-Molinion]+Pallavicinio-Sphagnetum typicum",4.8655999999999998e-02,"09-i+09A2a",
"39A-2+09A2-6","vegetatie","Zachte berk Rietklasse-soorten+Riet met veenmossen Typische vorm",1,,"RG Zachte berk-[Elzen-verbond]+Veenmosrietland, typische subassociatie","RG Betula pubescens-[Alnion glutinosae]+Pallavicinio-Sphagnetum typicum",8.0997000000000000e-02,"39A-f+09A2a",
"09A2-1+09A2-2","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje",5,,"Veenmosrietland, typische subassociatie+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum typicum+Pallavicinio-Sphagnetum molinietosum",9.6945499999999996e-01,"09A2a+09A2b",
"09-8+09A2-2","vegetatie","haarmossen Dominantievorm van Gewoon haarmos+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje",1,,"DG Gewoon haarmos-[Klasse der kleine Zeggen]+Veenmosrietland, subassociatie van pijpestrootje","DG Polytrichum commune-[Parvocaricetea]+Pallavicinio-Sphagnetum molinietosum",7.9641000000000003e-02,"09/c+09A2b",
"08-5+09-12+32-4+08C-10","vegetatie","rietfacies Typische vorm+Natte Pitrusruigten zure soorten+Rietgras Typische vorm+Riet met grote zeggen Oeverzegge",1,,"RG Riet-[Riet-klasse]+RG Pitrus-[Klasse der kleine Zeggen]+RG Rietgras-[Klasse der natte strooiselruigten]+RG Oeverzegge-[Verbond der grote Zeggen]","RG Phragmites australis-[Phragmitetea]+RG Juncus effusus-[Parvocaricetea]+RG Phalaris arundinacea-[Convol.-Filupenduletea]+RG Carex riparia-[Magnocaricion]",8.3358000000000002e-02,"08-f+09-k+32-e+08C-a",
"09A2-1+08B3-7","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Typische vorm+Riet, Hennegras en Moerasstruisgras Typische vorm",1,,"Veenmosrietland, typische subassociatie+Riet-associatie, soortenarme subassociatie","Pallavicinio-Sphagnetum typicum+Typho-Phragmitetum inops",1.0804900000000001e-01,"09A2a+08B3d",
"50A-1+08B3-3+08-5","vegetatie","Open water Typische vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren+rietfacies Typische vorm",1,,"water+Riet-associatie, subassociatie van Moerasvaren+RG Riet-[Riet-klasse]","nvt+Typho-Phragmitetum thelypteridetosum+RG Phragmites australis-[Phragmitetea]",5.8447000000000006e-02,"50A+08B3c+08-f",
"33-2+40A-5","vegetatie","Riet en ruigtkruiden bramen+Zachte berk Wilde gagel",1,,"DG Gewone braam (R. armeniacus)-[nitrofie.zomen]+RG Wilde gagel-[Verbond der berkenbroekbossen]","DG Rubus armeniacus-[Galio-Urticetea]+RG Myrica gale-[Betulion pubescentis]",8.4370000000000001e-02,"33/a+40A-a",
"08-5+08B3-3+32-10","vegetatie","rietfacies Typische vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren+Riet en ruigtkruiden Rietgras",1,,"RG Riet-[Riet-klasse]+Riet-associatie, subassociatie van Moerasvaren+RG Rietgras-[Klasse der natte strooiselruigten]","RG Phragmites australis-[Phragmitetea]+Typho-Phragmitetum thelypteridetosum+RG Phalaris arundinacea-[Convol.-Filupenduletea]",2.8128500000000001e-01,"08-f+08B3c+32-e",
"09A2-1+08B3-3+09-13","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Typische vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren+Riet, Hennegras en Moerasstruisgras Hennegras",1,,"Veenmosrietland, typische subassociatie+Riet-associatie, subassociatie van Moerasvaren+RG Hennegras-[Klasse der kleine Zeggen]","Pallavicinio-Sphagnetum typicum+Typho-Phragmitetum thelypteridetosum+RG Calamagrostis canescens-[Parvocaricetea]",2.8928199999999998e-01,"09A2a+08B3c+09-g",
"39A-1+08-5+09-11","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+rietfacies Typische vorm+Hennegras Typische vorm",1,,"RG Zachte berk-[Elzen-verbond]+RG Riet-[Riet-klasse]+RG Hennegras-[Klasse der kleine Zeggen]","RG Betula pubescens-[Alnion glutinosae]+RG Phragmites australis-[Phragmitetea]+RG Calamagrostis canescens-[Parvocaricetea]",3.5257100000000002e-01,"39A-f+08-f+09-g",
"50A-1+08B3-4","vegetatie","Open water Typische vorm+Riet, Moeraswalstro en Moerasvaren Typische vorm",1,,"water+Riet-associatie, subassociatie van Moerasvaren","nvt+Typho-Phragmitetum thelypteridetosum",5.6339000000000000e-02,"50A+08B3c",
"32-5+32-4","vegetatie","Grote brandnetel Typische vorm+Rietgras Typische vorm",3,,"RG Brandnetel-[Klasse d natte strooiselruigten]+RG Rietgras-[Klasse der natte strooiselruigten]","RG Urtica dioica-[Convolvulo-Filipenduletea]+RG Phalaris arundinacea-[Convol.-Filupenduletea]",4.6555700000000000e-01,"32-f+32-e",
"09-13+08-5","vegetatie","Riet, Hennegras en Moerasstruisgras Hennegras+rietfacies Typische vorm",1,,"RG Hennegras-[Klasse der kleine Zeggen]+RG Riet-[Riet-klasse]","RG Calamagrostis canescens-[Parvocaricetea]+RG Phragmites australis-[Phragmitetea]",9.3185000000000004e-02,"09-g+08-f",
"36A2-2+09-13","vegetatie","Grauwe wilg Typische vorm+Riet, Hennegras en Moerasstruisgras Hennegras",1,,"Associatie van Grauwe wilg+RG Hennegras-[Klasse der kleine Zeggen]","Salicetum cinereae+RG Calamagrostis canescens-[Parvocaricetea]",9.2910999999999994e-02,"36A2+09-g",
"32-5+08B3-3","vegetatie","Grote brandnetel Typische vorm+Riet, Moeraswalstro en Moerasvaren Moerasvaren",1,,"RG Brandnetel-[Klasse d natte strooiselruigten]+Riet-associatie, subassociatie van Moerasvaren","RG Urtica dioica-[Convolvulo-Filipenduletea]+Typho-Phragmitetum thelypteridetosum",3.4955000000000000e-02,"32-f+08B3c",
"32-3+32-5","vegetatie","Haagwinde Typische vorm+Grote brandnetel Typische vorm",1,,"RG Haagwinde - Riet-[Kl. natte strooiselruigten]+RG Brandnetel-[Klasse d natte strooiselruigten]","RG Calystegia sep. - Phragmites a-[Conv.-Filup.]+RG Urtica dioica-[Convolvulo-Filipenduletea]",9.0001999999999999e-02,"32-c+32-f",
"16-11+08-6","vegetatie","Gestreepte witbol, Fioringras en natte storingssoorten Dominantievorm van Pitrus+Liesgras Typische vorm",1,,"RG Pitrus-[Klasse der vochtige graslanden]+RG Liesgras-[Riet-klasse]","RG Juncus effusus-[Molinio-Arrhenatheretea]+RG Glyceria maxima-[Phragmitetea]",1.3876500000000000e-01,"16-r+08-a",
"08B3-4+32B-1","vegetatie","Riet, Moeraswalstro en Moerasvaren Typische vorm+Riet en Harig wilgenroosje Typische vorm",1,,"Riet-associatie, subassociatie van Moerasvaren+Verbond van Harig wilgeroosje","Typho-Phragmitetum thelypteridetosum+Epilobion hirsuti",1.1985700000000002e-01,"08B3c+32B",
"16-5+08C-2","vegetatie","Gewoon reukgras, Gewoon struisgras en Rood zwenkgra Typische vorm+Oeverzegge Grazige vorm",1,,"RG S.weegbr.-Kruip.boterb.-R.zwenk.[Kl.v.grasl.]+RG Oeverzegge-[Verbond der grote Zeggen]","RG Plantago -Ranunculus -Festuca rub.-[Mol-Arr.]+RG Carex riparia-[Magnocaricion]",9.5842999999999998e-02,"16-g+08C-a",
"08B3-4+08C-11","vegetatie","Riet, Moeraswalstro en Moerasvaren Typische vorm+Riet met grote zeggen Pluimzegge",2,,"Riet-associatie, subassociatie van Moerasvaren+RG Pluimzegge-[Verbond der grote Zeggen]","Typho-Phragmitetum thelypteridetosum+RG Carex paniculata-[Magnocaricion]",3.7169799999999997e-01,"08B3c+08C-c",
"36A2-2+39A1-1","vegetatie","Grauwe wilg Typische vorm+Zwarte els en storingsoorten Rietklassesoorten",2,,"Associatie van Grauwe wilg+Moerasvaren-elzenbroek, typische subassociatie","Salicetum cinereae+Thelypterido-Alnetum typicum",2.0249499999999998e-01,"36A2+39A1a",
"09A2-2+09A2-8","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet met veenmossen Pijpenstrootje",7,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum",3.2450609999999998e+00,"09A2b+09A2b",
"09A2-8+09A2-2","vegetatie","Riet met veenmossen Pijpenstrootje+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje",7,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum",1.3457580000000000e+00,"09A2b+09A2b",
"39A-1+40A-1+09A2-8","vegetatie","Zachte berk en Veenmossen Rietklassesoorten+Zachte berk en Veenmossen Pijpenstrootje+Riet met veenmossen Pijpenstrootje",1,,"RG Zachte berk-[Elzen-verbond]+RG Pijpestrootje-[Verbond der berkenbroekbossen]+Veenmosrietland, subassociatie van pijpestrootje","RG Betula pubescens-[Alnion glutinosae]+RG Molinia caerulea-[Betulion pubescentis]+Pallavicinio-Sphagnetum molinietosum",7.6692199999999999e-01,"39A-f+40A-b+09A2b",
"09A2-1+09A2-6","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Typische vorm+Riet met veenmossen Typische vorm",13,,"Veenmosrietland, typische subassociatie+Veenmosrietland, typische subassociatie","Pallavicinio-Sphagnetum typicum+Pallavicinio-Sphagnetum typicum",2.5906460000000004e+00,"09A2a+09A2a",
"09A2-6+08-5","vegetatie","Riet met veenmossen Typische vorm+rietfacies Typische vorm",2,,"Veenmosrietland, typische subassociatie+RG Riet-[Riet-klasse]","Pallavicinio-Sphagnetum typicum+RG Phragmites australis-[Phragmitetea]",4.1956599999999999e-01,"09A2a+08-f",
"09A2-8+09A2-2+09-13","vegetatie","Riet met veenmossen Pijpenstrootje+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet, Hennegras en Moerasstruisgras Hennegras",1,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje+RG Hennegras-[Klasse der kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum+RG Calamagrostis canescens-[Parvocaricetea]",5.1512599999999997e-01,"09A2b+09A2b+09-g",
"08-2","vegetatie","Riet met Klein kroos en/of Kikkerbeet Typische vorm",16,,"RG Riet-[Riet-klasse]","RG Phragmites australis-[Phragmitetea]",2.8767850000000004e+00,"08-f","90"
"08-3","vegetatie","Grote lisdodde Typische vorm",1,,"RG Grote Lisdodde-[Riet-klasse]","RG Typha latifolia-[Phragmitetea]",1.3764199999999999e-01,"08-d","80"
"08-5","vegetatie","rietfacies Typische vorm",23,,"RG Riet-[Riet-klasse]","RG Phragmites australis-[Phragmitetea]",9.2543009999999999e+00,"08-f","100"
"08-6","vegetatie","Liesgras Typische vorm",10,,"RG Liesgras-[Riet-klasse]","RG Glyceria maxima-[Phragmitetea]",2.2714680000000000e+00,"08-a","90"
"08-7","vegetatie","Riet en grassen Ruw beemdgras en/of Fioringras",2,,"RG Riet-[Riet-klasse]","RG Phragmites australis-[Phragmitetea]",1.2623200000000001e-01,"08-f","100"
"08B3-2","vegetatie","Kleine lisdodde Moerasvaren",1,,"Riet-associatie, subassociatie van Moerasvaren","Typho-Phragmitetum thelypteridetosum",3.7273699999999999e-01,"08B3c","100"
"08B3-3","vegetatie","Riet, Moeraswalstro en Moerasvaren Moerasvaren",33,,"Riet-associatie, subassociatie van Moerasvaren","Typho-Phragmitetum thelypteridetosum",4.6187079999999998e+00,"08B3c","100"
"09A2-5+08C-9","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Riet, Paddenrus en Wateraardbei Verarmde vorm",3,,"Veenmosrietland, subassociatie van pijpestrootje+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",2.9810599999999993e-01,"09A2b+08C-e",
"08C-12+09-13","vegetatie","Riet met grote zeggen Moeraszegge+Riet, Hennegras en Moerasstruisgras Hennegras",1,,"RG Moeraszegge-[Verbond der grote Zeggen]+RG Hennegras-[Klasse der kleine Zeggen]","RG Carex acutiformis-[Magnocaricion]+RG Calamagrostis canescens-[Parvocaricetea]",7.9555000000000001e-02,"08C-b+09-g",
"08B3-3+08C-11","vegetatie","Riet, Moeraswalstro en Moerasvaren Moerasvaren+Riet met grote zeggen Pluimzegge",4,,"Riet-associatie, subassociatie van Moerasvaren+RG Pluimzegge-[Verbond der grote Zeggen]","Typho-Phragmitetum thelypteridetosum+RG Carex paniculata-[Magnocaricion]",4.7082000000000002e-01,"08B3c+08C-c",
"39A-2+39A-1","vegetatie","Zachte berk Rietklasse-soorten+Zachte berk en Veenmossen Rietklassesoorten",3,,"RG Zachte berk-[Elzen-verbond]+RG Zachte berk-[Elzen-verbond]","RG Betula pubescens-[Alnion glutinosae]+RG Betula pubescens-[Alnion glutinosae]",5.9920700000000005e-01,"39A-f+39A-f",
"08B3-4+08C-12","vegetatie","Riet, Moeraswalstro en Moerasvaren Typische vorm+Riet met grote zeggen Moeraszegge",1,,"Riet-associatie, subassociatie van Moerasvaren+RG Moeraszegge-[Verbond der grote Zeggen]","Typho-Phragmitetum thelypteridetosum+RG Carex acutiformis-[Magnocaricion]",9.9517999999999995e-02,"08B3c+08C-b",
"09-13+08B3-3","vegetatie","Riet, Hennegras en Moerasstruisgras Hennegras+Riet, Moeraswalstro en Moerasvaren Moerasvaren",3,,"RG Hennegras-[Klasse der kleine Zeggen]+Riet-associatie, subassociatie van Moerasvaren","RG Calamagrostis canescens-[Parvocaricetea]+Typho-Phragmitetum thelypteridetosum",1.0153559999999999e+00,"09-g+08B3c",
"08C-12+08B3-3","vegetatie","Riet met grote zeggen Moeraszegge+Riet, Moeraswalstro en Moerasvaren Moerasvaren",1,,"RG Moeraszegge-[Verbond der grote Zeggen]+Riet-associatie, subassociatie van Moerasvaren","RG Carex acutiformis-[Magnocaricion]+Typho-Phragmitetum thelypteridetosum",9.3173000000000006e-02,"08C-b+08B3c",
"50A-1+08C-8+08-2","vegetatie","Open water Typische vorm+Hoge cyperzegge, Pluimzegge en Moerasvaren Pluimzegge+Riet met Klein kroos en/of Kikkerbeet Typische vorm",2,,"water+RG Pluimzegge-[Verbond der grote Zeggen]+RG Riet-[Riet-klasse]","nvt+RG Carex paniculata-[Magnocaricion]+RG Phragmites australis-[Phragmitetea]",2.7632400000000001e-01,"50A+08C-c+08-f",
"32-6+08C-1","vegetatie","Riet en Grote brandnetel Typische vorm.+Oeverzegge Typische vorm",1,,"RG Brandnetel-[Klasse d natte strooiselruigten]+RG Oeverzegge-[Verbond der grote Zeggen]","RG Urtica dioica-[Convolvulo-Filipenduletea]+RG Carex riparia-[Magnocaricion]",1.9557000000000001e-02,"32-f+08C-a",
"39A-2+36A2-2+39A1-1","vegetatie","Zachte berk Rietklasse-soorten+Grauwe wilg Typische vorm+Zwarte els en storingsoorten Rietklassesoorten",2,,"RG Zachte berk-[Elzen-verbond]+Associatie van Grauwe wilg+Moerasvaren-elzenbroek, typische subassociatie","RG Betula pubescens-[Alnion glutinosae]+Salicetum cinereae+Thelypterido-Alnetum typicum",4.5920600000000000e-01,"39A-f+36A2+39A1a",
"39A1-1+39A-2","vegetatie","Zwarte els en storingsoorten Rietklassesoorten+Zachte berk Rietklasse-soorten",3,,"Moerasvaren-elzenbroek, typische subassociatie+RG Zachte berk-[Elzen-verbond]","Thelypterido-Alnetum typicum+RG Betula pubescens-[Alnion glutinosae]",1.6264230000000000e+00,"39A1a+39A-f",
"39A-2+39A1-1","vegetatie","Zachte berk Rietklasse-soorten+Zwarte els en storingsoorten Rietklassesoorten",5,,"RG Zachte berk-[Elzen-verbond]+Moerasvaren-elzenbroek, typische subassociatie","RG Betula pubescens-[Alnion glutinosae]+Thelypterido-Alnetum typicum",1.2730660000000000e+00,"39A-f+39A1a",
"09-12+09A-1+32-4","vegetatie","Natte Pitrusruigten zure soorten+Zwarte zegge en Moerasstruisgras Typische vorm+Rietgras Typische vorm",1,,"RG Pitrus-[Klasse der kleine Zeggen]+RG Zwarte zegge-Moerasstruisgras-[Vb. Zw. zegge]+RG Rietgras-[Klasse der natte strooiselruigten]","RG Juncus effusus-[Parvocaricetea]+RG Carex nigra - Agrostis canina-[Caricion nig.]+RG Phalaris arundinacea-[Convol.-Filupenduletea]",6.4606999999999998e-02,"09-k+09A-a+32-e",
"09A2-2+09A2-4","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Kamvaren, veenmossen en Ronde zonnedauw veenpluis",6,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum",1.5897340000000000e+00,"09A2b+09A2b",
"09A-1+09-11","vegetatie","Zwarte zegge en Moerasstruisgras Typische vorm+Hennegras Typische vorm",1,,"RG Zwarte zegge-Moerasstruisgras-[Vb. Zw. zegge]+RG Hennegras-[Klasse der kleine Zeggen]","RG Carex nigra - Agrostis canina-[Caricion nig.]+RG Calamagrostis canescens-[Parvocaricetea]",5.9016999999999993e-02,"09A-a+09-g",
"08C-10+08-5+32-9","vegetatie","Riet met grote zeggen Oeverzegge+rietfacies Typische vorm+Riet en ruigtkruiden Haagwinde",2,,"RG Oeverzegge-[Verbond der grote Zeggen]+RG Riet-[Riet-klasse]+RG Haagwinde - Riet-[Kl. natte strooiselruigten]","RG Carex riparia-[Magnocaricion]+RG Phragmites australis-[Phragmitetea]+RG Calystegia sep. - Phragmites a-[Conv.-Filup.]",7.1889300000000000e-01,"08C-a+08-f+32-c",
"08C2-4+08B3-3","vegetatie","Riet met grote zeggen Scherpe zegge+Riet, Moeraswalstro en Moerasvaren Moerasvaren",1,,"Associatie v Scherpe zegge, soortenarme subass.+Riet-associatie, subassociatie van Moerasvaren","Caricetum gracilis inops+Typho-Phragmitetum thelypteridetosum",1.2070999999999998e-01,"08C2c+08B3c",
"09A2-2+09-9","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+haarmossen Pijpenstrootje",10,,"Veenmosrietland, subassociatie van pijpestrootje+DG Gewoon haarmos-[Klasse der kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+DG Polytrichum commune-[Parvocaricetea]",3.4359020000000000e+00,"09A2b+09/c",
"09A2-2+09A2-1","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Kamvaren, veenmossen en Ronde zonnedauw Typische vorm",2,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, typische subassociatie","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum typicum",4.8832599999999998e-01,"09A2b+09A2a",
