samengesteld,gegevens,omschrijving,aantal,vereenvoudigd,LandTypeNed,LandTypeWet,opp,SbbType,Bedekking_num
"09B-1+09B-2","vegetatie","Waterdrieblad Typische vorm+Waterdrieblad veenmossen",1,,"RG Waterdrieblad-[Verbond van Draadzegge]+RG Waterdrieblad-[Verbond van Draadzegge]","RG Menyanthes trifoliata-[Caricion lasiocarpae]+RG Menyanthes trifoliata-[Caricion lasiocarpae]",7.7960000000000002e-02,"09B-b+09B-b",
"09A2-5+09A2-2+09B-4","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet, Paddenrus en Wateraardbei Typische vorm",1,,"Veenmosrietland, subassociatie van pijpestrootje+Veenmosrietland, subassociatie van pijpestrootje+RG Klein blaasjeskruid-[Riet-vb./Vb.Draadzegge]","Pallavicinio-Sphagnetum molinietosum+Pallavicinio-Sphagnetum molinietosum+RG Utricularia minor-[Phragmition/Caricion lasi]",1.4062400000000000e-01,"09A2b+09A2b+09B-a",
"09A2-4+09B2-1+09B2-2","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw veenpluis+Draadzegge Typische vorm+Draadzegge veenmossen",1,,"Veenmosrietland, subassociatie van pijpestrootje+Ass. v Draadzegge en Veenpluis, typische subass.+Ass. v Draadzegge en Veenpluis, typische subass.","Pallavicinio-Sphagnetum molinietosum+Eriophoro-Caricetum lasiocarpae typicum+Eriophoro-Caricetum lasiocarpae typicum",9.8319000000000004e-02,"09A2b+09B2a+09B2a",
"09B-4+09B2-1","vegetatie","Riet, Paddenrus en Wateraardbei Typische vorm+Draadzegge Typische vorm",1,,"RG Klein blaasjeskruid-[Riet-vb./Vb.Draadzegge]+Ass. v Draadzegge en Veenpluis, typische subass.","RG Utricularia minor-[Phragmition/Caricion lasi]+Eriophoro-Caricetum lasiocarpae typicum",9.3712000000000004e-02,"09B-a+09B2a",
"09A2-2+09B-4+09A2-5","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet, Paddenrus en Wateraardbei Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Paddenrus",1,,"Veenmosrietland, subassociatie van pijpestrootje+RG Klein blaasjeskruid-[Riet-vb./Vb.Draadzegge]+Veenmosrietland, subassociatie van pijpestrootje","Pallavicinio-Sphagnetum molinietosum+RG Utricularia minor-[Phragmition/Caricion lasi]+Pallavicinio-Sphagnetum molinietosum",1.7638000000000001e-01,"09A2b+09B-a+09A2b",
"05C1-1+50A-1","vegetatie","Krabbenscheer Typische vorm+Open water Typische vorm",1,,"Krabbescheer associatie+water","Stratiotetum+nvt",2.7407700000000002e-01,"05C1+50A",
"08-2+08C-11","vegetatie","Riet met Klein kroos en/of Kikkerbeet Typische vorm+Riet met grote zeggen Pluimzegge",1,,"RG Riet-[Riet-klasse]+RG Pluimzegge-[Verbond der grote Zeggen]","RG Phragmites australis-[Phragmitetea]+RG Carex paniculata-[Magnocaricion]",9.7485000000000002e-02,"08-f+08C-c",
"09B-4+09A2-2+09-13","vegetatie","Riet, Paddenrus en Wateraardbei Typische vorm+Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Riet, Hennegras en Moerasstruisgras Hennegras",1,,"RG Klein blaasjeskruid-[Riet-vb./Vb.Draadzegge]+Veenmosrietland, subassociatie van pijpestrootje+RG Hennegras-[Klasse der kleine Zeggen]","RG Utricularia minor-[Phragmition/Caricion lasi]+Pallavicinio-Sphagnetum molinietosum+RG Calamagrostis canescens-[Parvocaricetea]",1.8878050000000000e+00,"09B-a+09A2b+09-g",
"09A2-3+09B-2","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Molinietalia-soorten+Waterdrieblad veenmossen",1,,"Veenmosrietland, subassociatie van pijpestrootje+RG Waterdrieblad-[Verbond van Draadzegge]","Pallavicinio-Sphagnetum molinietosum+RG Menyanthes trifoliata-[Caricion lasiocarpae]",6.5782999999999994e-02,"09A2b+09B-b",
"09A2-5+09-7","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Paddenrus+Paddenrus veenmossen",1,,"Veenmosrietland, subassociatie van pijpestrootje+RG Padderus-[Verb.grote Zeggen/Kl.kleine Zeggen]","Pallavicinio-Sphagnetum molinietosum+RG Juncus subnodulosus-[Magnocaricion/Parvocar.]",9.6512000000000001e-02,"09A2b+09-j",
"32-4+08-5","vegetatie","Rietgras Typische vorm+rietfacies Typische vorm",4,,"RG Rietgras-[Klasse der natte strooiselruigten]+RG Riet-[Riet-klasse]","RG Phalaris arundinacea-[Convol.-Filupenduletea]+RG Phragmites australis-[Phragmitetea]",1.9666680000000001e+00,"32-e+08-f",
"09-11+39A-2","vegetatie","Hennegras Typische vorm+Zachte berk Rietklasse-soorten",2,,"RG Hennegras-[Klasse der kleine Zeggen]+RG Zachte berk-[Elzen-verbond]","RG Calamagrostis canescens-[Parvocaricetea]+RG Betula pubescens-[Alnion glutinosae]",2.9255799999999998e-01,"09-g+39A-f",
"16A-3+16A-7","vegetatie","Pijpenstrootje en Blauwe zegge Typische vorm+Pijpenstrootje en Blauwe zegge Tandjesgras",3,,"RG Blau.knoop-Blau.zegge-[Vb.Biezenkn.-Pijpest.]+RG Blau.knoop-Blau.zegge-[Vb.Biezenkn.-Pijpest.]","RG Succisa prat.-Carex panicea-[Junco-Molinion]+RG Succisa prat.-Carex panicea-[Junco-Molinion]",1.9298099999999999e-01,"16A-a+16A-a",
"09A2-2+11B2-3","vegetatie","Kamvaren, veenmossen en Ronde zonnedauw Pijpenstrootje+Hoogveenveenmos en Riet Pijpenstrootje",1,,"Veenmosrietland, subassociatie van pijpestrootje+Moerasheide","Pallavicinio-Sphagnetum molinietosum+Sphagno palustris-Ericetum",1.9196000000000001e-02,"09A2b+11B2",
