intern_id,ElmID,Datum,Locatietype,SamengesteldeLegenda,VereenvoudigdeLegenda,ToevoegingLegenda,InterpretatieLegenda,AbiotiekLegenda,Oppervlakte,SbbType
2111,26029,"09/24/13 00:00:00","v","08B3-3+09-9+09A2-2","5","e1+h2+q+t+v2",,,1.4933399999999999e-01,"08B3c+09/c+09A2b"
2112,26030,"09/24/13 00:00:00","v","05B3-1+05D5-1","2","e1",,,7.4748999999999996e-02,"05B3a+05D5a"
2113,26031,"09/24/13 00:00:00","v","50A-1+05B3-1","1","e1",,,6.1918000000000008e-02,"50A+05B3a"
2122,26041,"09/24/13 00:00:00","v","09-9+09-8","11","e1+v4",,,1.1354600000000001e-01,"09/c+09/c"
2123,26042,"09/24/13 00:00:00","v","09A2-2+09-9","10","e1+v4",,,1.2643610000000001e+00,"09A2b+09/c"
2130,26049,"10/01/13 00:00:00","v","08B3-6+09A2-1","5","e2+h2+t+v3",,,1.5442000000000001e-02,"08B3d+09A2a"
2131,26050,"10/01/13 00:00:00","v","09A2-2+09-8","10","e1+v4",,,3.6484999999999997e-02,"09A2b+09/c"
2134,26053,"10/01/13 00:00:00","v","09A2-2+11B2-3","10","e1+v4",,,1.9196000000000001e-02,"09A2b+11B2"
2138,26057,"10/01/13 00:00:00","v","09A2-2+09-3","10","e6+v4",,,1.0536000000000000e-01,"09A2b+09-a"
2141,26060,"10/01/13 00:00:00","v","11B2-1+09A2-2+09-9","13","e1+v4",,,5.7714000000000001e-02,"11B2+09A2b+09/c"
2144,26063,"09/30/13 00:00:00","v","09A2-2+16A-1+09-9","10","e1+v4",,,6.5396900000000002e-01,"09A2b+16A-c+09/c"
2149,26068,"09/30/13 00:00:00","v","09-9+09-10+09A2-2","11","e1+v4",,,6.4512000000000000e-02,"09/c+09-i+09A2b"
2152,26071,"09/30/13 00:00:00","v","09A2-5+09A2-2","10","e1+h2+v4",,,4.9243000000000002e-02,"09A2b+09A2b"
2200,26744,"06/21/13 00:00:00","v","09-6+09A2-5","9","e5+v2+y2",,,1.2859400000000001e-01,"09-j+09A2b"
2218,26763,"07/16/13 00:00:00","v","09-6+09-7","9","e6+v2",,,3.1851800000000002e-01,"09-j+09-j"
2224,26769,"07/16/13 00:00:00","v","09A2-5+39A-1","10","e1+v4",,,3.4197999999999999e-02,"09A2b+39A-f"
2225,26770,"07/16/13 00:00:00","v","08C-9+09A2-5+09-6","5","e5+v1",,,2.6866899999999999e-01,"08C-e+09A2b+09-j"
2226,26771,"07/16/13 00:00:00","v","09A2-2+09A2-5","10","e1+h2+v4",,,1.0104600000000000e-01,"09A2b+09A2b"
2236,26781,"07/16/13 00:00:00","v","09A2-4+09A2-5","10","e1+v4",,,5.8089999999999996e-02,"09A2b+09A2b"
2238,26783,"07/16/13 00:00:00","v","09B3-4+09B-4+09A2-4","8","e1+v2",,,5.0118000000000003e-02,"09B3a+09B-a+09A2b"
2248,26794,"07/17/13 00:00:00","v","09-6+09B3-1+09A-1","9","e5+v2+y1",,,4.1725600000000002e-01,"09-j+09B3a+09A-a"
2249,26795,"07/17/13 00:00:00","v","09A2-4+09A2-5","10","e1+v4",,,4.5324000000000003e-02,"09A2b+09A2b"
2261,26809,"10/07/13 00:00:00","v","08C-9+16-14","5","e1+t+y3",,,1.6631899999999999e-01,"08C-e+16A-e"
