Locatie,SoortCode,Bedekking,Aantalsklasse,Bedekking_num
1613,688,"f","4",8
1613,346,"r","3",1
1613,1327,"r","3",1
1613,821,"s","3",1
1616,418,"o","3",3
1616,688,"f","4",8
1617,1051,"s","1",1
1617,456,"r","2",1
1618,326,"s","1",1
1619,427,"f","5",8
1620,418,"r","3",1
1620,688,"r","3",1
1620,427,"f","5",8
1621,427,"lf","4",3
1623,420,"s","1",1
1623,346,"o","3",3
1623,1099,"s","1",1
1623,427,"f","5",8
1625,427,"f","4",8
1626,427,"f","5",8
1627,1099,"r","2",1
1628,1099,"o","3",3
1628,427,"o","3",3
1629,427,"lf","4",3
1629,178,"s","2",1
1630,427,"o","3",3
1631,427,"lf","4",3
1631,178,"ld","5",22
1632,427,"o","3",3
