Locatie,SoortCode,Bedekking,Aantalsklasse,Bedekking_num
923,346,"a","5",15
924,187,"a","5",15
925,187,"o","5",3
925,248,"s","3",1
925,1183,"s","3",1
926,187,"o","3",3
926,714,"f","4",8
927,346,"a","5",15
928,187,"f","4",8
928,346,"o","3",3
928,714,"f","3",8
928,1362,"lf","3",3
929,346,"d","5",60
930,187,"f","3",8
930,626,"f","4",8
930,714,"la","4",9
930,1275,"o","3",3
931,187,"a","3",15
931,1275,"s","1",1
933,346,"d","5",60
934,187,"f","4",8
934,346,"lf","4",3
934,714,"f","4",8
935,346,"a","5",15
936,346,"o","3",3
939,187,"o","3",3
940,346,"d","5",60
941,212,"f","4",8
942,212,"f","3",8
947,1099,"s","1",1
949,427,"ld","5",22
949,1099,"r","2",1
951,1099,"r","2",1
953,420,"o","4",3
953,427,"o","3",3
956,420,"o","4",3
957,420,"o","4",3
958,420,"o","4",3
962,427,"a","5",15
962,1099,"o","3",3
966,427,"f","4",8
968,346,"o","3",3
968,420,"f","5",8
968,427,"d","5",60
968,688,"f","4",8
969,427,"la","5",9
970,427,"ld","5",22
970,1099,"r","3",1
970,1255,"o","3",3
973,427,"f","4",8
973,688,"f","5",8
973,1099,"o","3",3
974,427,"f","3",8
974,1099,"o","3",3
975,688,"o","3",3
976,427,"f","4",8
977,427,"f","5",8
977,688,"o","3",3
979,427,"la","4",9
981,420,"o","3",3
981,427,"r","2",1
981,688,"s","2",1
982,228,"r","2",1
982,418,"lf","4",3
982,420,"lf","4",3
982,427,"lf","4",3
982,688,"o","3",3
982,3172,"lf","4",3
983,346,"r","2",1
983,427,"a","5",15
983,688,"o","2",3
984,418,"lf","5",3
984,420,"o","4",3
984,427,"o","4",3
984,688,"o","2",3
985,420,"r","2",1
985,427,"lf","5",3
985,688,"o","3",3
985,1099,"o","3",3
986,427,"ld","5",22
987,427,"ld","5",22
988,427,"ld","5",22
989,427,"ld","5",22
990,427,"ld","5",22
991,420,"o","3",3
991,427,"ld","5",22
993,427,"la","4",9
994,418,"o","3",3
994,420,"o","4",3
994,427,"f","5",8
995,418,"o","3",3
995,420,"o","4",3
995,427,"f","5",8
996,427,"la","5",9
996,1099,"s","1",1
997,1099,"s","2",1
998,427,"o","3",3
999,427,"la","5",9
999,1255,"r","3",1
1000,427,"d","5",60
1001,427,"o","3",3
1006,427,"f","4",8
1008,427,"lf","4",3
1010,1099,"o","3",3
1017,1099,"o","3",3
1035,212,"o","3",3
1038,427,"f","4",8
1038,1099,"o","3",3
1041,427,"la","5",9
1042,427,"f","4",8
1043,427,"o","3",3
1044,427,"la","5",9
1044,1255,"o","3",3
1045,427,"f","4",8
1045,688,"o","3",3
1055,346,"la","4",9
1056,346,"f","5",8
1059,346,"la","5",9
1060,714,"lf","4",3
1060,346,"f","4",8
1060,187,"f","3",8
1061,1183,"f","3",8
1064,420,"r","3",1
1064,688,"f","5",8
1064,427,"f","5",8
1064,1324,"r","3",1
1067,651,"s","1",1
1068,420,"r","3",1
1068,688,"o","4",3
1068,427,"o","4",3
1068,908,"s","1",1
1070,427,"f","4",8
1071,418,"r","3",1
1071,420,"o","4",3
1071,427,"o","4",3
1072,427,"f","4",8
1074,418,"r","3",1
1074,420,"o","4",3
1075,427,"o","4",3
1076,427,"f","4",8
1077,1099,"r","3",1
1077,427,"f","4",8
1079,1099,"f","3",8
1079,427,"r","3",1
1081,1099,"o","3",3
1082,997,"o","3",3
1082,1099,"f","4",8
1082,427,"o","3",3
1085,1099,"r","3",1
1086,420,"s","2",1
1086,688,"o","4",3
1086,427,"f","4",8
1087,420,"o","4",3
1087,688,"o","4",3
1087,427,"o","4",3
1088,427,"f","5",8
1089,420,"r","3",1
1089,427,"f","5",8
1090,427,"f","4",8
1091,420,"r","3",1
1091,427,"f","4",8
1092,418,"r","3",1
1092,420,"f","5",8
1092,688,"o","4",3
1092,427,"o","4",3
1093,427,"f","5",8
1094,427,"f","4",8
1094,688,"o","4",3
1094,420,"o","4",3
1095,427,"f","5",8
1096,420,"o","3",3
1096,688,"o","4",3
1096,427,"o","4",3
1098,427,"o","4",3
1099,427,"f","4",8
1100,427,"f","4",8
1101,427,"f","4",8
1102,427,"f","4",8
1103,1099,"o","3",3
1104,427,"f","4",8
1106,427,"o","4",3
1107,638,"f","5",8
1109,427,"f","5",8
1110,427,"a","5",15
1111,1099,"f","4",8
1111,346,"o","4",3
1112,427,"f","5",8
1113,260,"o","4",3
1113,418,"f","5",8
1113,420,"o","3",3
1113,688,"r","3",1
1113,3011,"r","4",1
1114,212,"r","2",1
1114,237,"o","3",3
1114,418,"o","4",3
1114,420,"s","1",1
1114,688,"f","5",8
1114,346,"o","3",3
1114,427,"f","4",8
1114,1324,"lf","4",3
1115,260,"r","4",1
1115,688,"f","5",8
1115,346,"f","4",8
1115,427,"f","5",8
1117,260,"o","4",3
1117,418,"f","4",8
1117,420,"s","1",1
1117,688,"f","5",8
1117,427,"o","4",3
1119,212,"f","4",8
1119,420,"r","2",1
1119,688,"r","3",1
1119,1099,"r","2",1
1119,427,"f","5",8
1120,212,"f","5",8
1121,212,"o","3",3
1121,237,"r","2",1
1121,688,"o","5",3
1121,427,"o","4",3
1123,212,"o","3",3
1123,688,"r","3",1
1123,346,"r","3",1
1123,427,"o","4",3
1123,849,"r","3",1
1124,212,"r","3",1
1124,237,"r","3",1
1125,688,"o","3",3
1125,427,"a","5",15
1126,849,"d","4",60
1127,212,"o","3",3
1127,688,"f","5",8
1130,212,"f","4",8
1130,237,"r","2",1
1130,420,"r","2",1
1130,688,"o","5",3
1130,908,"s","1",1
1130,1099,"r","3",1
1132,420,"r","3",1
1132,688,"o","4",3
1132,427,"o","4",3
1133,849,"d","3",60
1134,427,"f","5",8
1135,237,"o","3",3
1135,346,"s","1",1
1135,427,"a","5",15
1136,212,"o","3",3
1136,427,"f","5",8
1137,212,"o","4",3
1137,688,"o","5",3
1137,1099,"r","2",1
1137,427,"f","5",8
1138,212,"o","5",3
1138,688,"o","4",3
1138,427,"r","3",1
1139,688,"o","3",3
1139,427,"f","4",8
1140,420,"s","2",1
1140,688,"o","3",3
1140,427,"f","4",8
1141,420,"s","2",1
1141,688,"o","4",3
1141,427,"o","4",3
1142,688,"o","3",3
1142,427,"f","5",8
